attending_school,case_no,casetype,dcps_school_against,home_school
Anacostia Senior High School,2014-0448,Expedite d Discipline,Anacost ia Senior High School,"•••v-."" ·:: ·_,. ... , 7_, .. .. ..,..,.~"
Phill ips School,2014-0450,Against LEA,Phillips School,Hart M iddle School
High Road PG,2014-0451,Against SEA,Phillips School,Mc Kinley Technolog y High
High Road PG,2014-0451,Against SEA,Democracy Prep Public Charte r School,Mc Kinley Technolog y High
High Road PG,2014-0451,Against SEA,Democracy Prep Public Charte r School,Democracy Prep Public Charter
Democracy Prep Publ ic Charter School,2014-0452,Against LEA,Democracy Prep Public Charter School,Democracy Prep Public Charter
Democracy Prep Publ ic Charter School,2014-0452,Against LEA,Democracy Prep Public Charter School,School
Democracy Prep Publ ic Charter School,2014-0452,Against LEA,Anacost ia Senior High School,School
Anacostia Senior High School,2014-0454,Against LEA,Anacost ia Senior High School,Anacost ia Senior High School
Anacostia Senior High School,2014-0454,Against LEA,KIPP !Al l Campuses),Anacost ia Senior High School
KIPP( All Campuses),2014-0453,Against LEA,KIPP !All Campuses),Kimball Eleme nta ry School
KIPP( All Campuses),2014-0453,Against LEA,KIPP IAII Campuses),Kimball Eleme nta ry School
KIPP( All Campuses),2014-0453,Against LEA,KIPP !Al l Campuses),Kimball Eleme nta ry School
School Without Walls High Schoo l,2014-0455,Against LEA,School Without Walls High School,Kimball Eleme nta ry School
Lab School of Washington,2014-0456,Against LEA,School Without Walls High School,Kimball Eleme nta ry School
Lab School of Washington,2014-0457,Against LEA,School Without Walls High School,Murc h Elementar y School
KIPP (All Campuses),2014-0458,Against LEA,School Without Walls High School,Wheatley ES
KIPP (All Campuses),2014-0458,Against LEA,Eastern High School,Wheatley ES
11/06/2014,11/06/2014,11/06/2014,11/06/2014,11/06/2014
11/07/2014,11/07/2014,11/07/2014,11/07/2014,11/07/2014
11/10/2014,11/10/2014,11/10/2014,11/10/2014,11/10/2014
11/ 12/2014,11/ 12/2014,11/ 12/2014,11/ 12/2014,11/ 12/2014
11/13/2014,11/13/2014,11/13/2014,11/13/2014,11/13/2014
11/14/2014,11/14/2014,11/14/2014,11/14/2014,11/14/2014
11/17/2014,11/17/2014,11/17/2014,11/17/2014,11/17/2014
11/18/20 14,11/18/20 14,11/18/20 14,11/18/20 14,11/18/20 14
11/19/2014,11/19/2014,11/19/2014,11/19/2014,11/19/2014
11/20/2014,11/20/2014,11/20/2014,11/20/2014,11/20/2014
11/21/2014,11/21/2014,11/21/2014,11/21/2014,11/21/2014
11/25/2014,11/25/2014,11/25/2014,11/25/2014,11/25/2014
11/26/2014,11/26/2014,11/26/2014,11/26/2014,11/26/2014
11/26/2014,11/26/2014,11/26/2014,Bell Mu lt icultural Senior High School,11/26/2014
11/26/2014,11/26/2014,11/26/2014,Bell Mu lt icult ural Senior High School,11/26/2014
Bell Mul ticul tural Senior High School,2014-0500,Against LEA,Bell Mu lt icult ural Senior High School,11/26/2014
Bell Mul ticul tural Senior High School,2014-0500,Against LEA,Bel l Mu lt icultural Senior High School,11/26/2014
Bell Mul ticul tural Senior High School,2014-0500,Against LEA,Bell Mu lt icultural Senior High School,11/26/2014
Thomso n ES,2014-0502,Against LEA,Thomson ES,11/26/2014
Kelly M il ler MS,2014-0501,Against LEA,Kelly M iller MS,11/26/2014
Kelly M il ler MS,2014-0501,Against LEA,Anacost ia Senior High School,11/26/2014
Anacost ia Senior High School,2014-0504,Expedited Discipline,Anacost ia Senior High School,Anacost ia Senior High School
IDEA,2014-0503,Against LEA,Anacost ia Senior High School,Anacost ia Senior High School
Anacostia Senior High School,2014-0498,Against LEA,Anacost ia Senior High School,Anacost ia Senior High School
Anacostia Senior High School,2014-0498,Against LEA,Anacostia Senior High School,Anacost ia Senior High School
Browne EC,2014-0S05,Against LEA,Browne EC,Brow ne EC
Browne EC,2014-0S05,Against LEA,Hart M iddle School,Brow ne EC
Browne EC,2014-0S05,Against LEA,Hart Middle School,Brow ne EC
Hart M iddle School,2014-0506,Against LEA,Hart Mid dle School,Brow ne EC
Hart M iddle School,2014-0506,Against LEA,Hart M iddle School,Brow ne EC
Hart M iddle School,2014-0506,Against LEA,Hart Middle School,Brow ne EC
Hart M iddle School,2014-0506,Against LEA,Sharpe Health School,Brow ne EC
Sharpe Health School,2014-0508,Against LEA,Sharpe Health School,Davis Elementary School
Sharpe Health School,2014-0508,Against LEA,Hart M iddle School,Davis Elementary School
Hart Midd le School,2014-0507,Against LEA,Hart Middle School,Davis Elementary School
Hart Midd le School,2014-0507,Against LEA,Hart M iddle School,Davis Elementary School
Randle-Highlands ES,2014-0510,Against LEA,Randle-Highlands ES,Randle-Highlands ES
Randle-Highlands ES,2014-0510,Against LEA,KIPP (All Campuses),Randle-Highlands ES
KIPP( All Campuses),2014-0509,Against LEA,KIPP (All Campuses),Thomso n ES
KIPP( All Campuses),2014-0509,Against LEA,Kelly M iller MS,Thomso n ES
Kelly M il ler MS,2014-05 11,Against LEA,Kelly M iller MS,Thomso n ES
Kelly M il ler MS,2014-05 11,Against LEA,Turne r@ Green Elementar y School,Turner@ Green Elementa ry
Turner @ Green Elementary School,2014-05 12,Against LEA,Turne r@ Green Elementar y School,Turner@ Green Elementa ry
Turner @ Green Elementary School,2014-05 12,Against LEA,Turne r @ Green Elementary School,School
Turner @ Green Elementary School,2014-05 12,Against LEA,Kelly M iller MS,School
Kelly M il ler MS,2014-048 7-B,Against LEA,Kelly M iller MS,School
Kelly M il ler MS,2014-048 7-B,Against LEA,Hendley Elementary School,School
Hendley Elementary School,2014-0513,Against LEA,Hendley Elementary School,Stanton Elementary School
Hendley Elementary School,2014-0513,Against LEA,Hend ley Elementary School,Stanton Elementary School
KIPP (All Campuses),2014-05 17,Against LEA,Hend ley Elementary School,Stanton Elementary School
KIPP (All Campuses),2014-05 17,Against LEA,HD Cooke Elementary Schoo l,Stanton Elementary School
HD Cooke Elementary School,2014-05 14,Against LEA,HD Cooke Elementary Schoo l,HD Cooke Elementary School
HD Cooke Elementary School,2014-05 14,Against LEA,HD Cooke Elementar y School,HD Cooke Elementary School
HD Cooke Elementary School,2014-05 14,Against LEA,Housto n Elementar y School,HD Cooke Elementary School
Houston Elementa ry School,2014-05 16,Against LEA,Housto n Elementar y School,HD Cooke Elementary School
Houston Elementa ry School,2014-05 16,Against LEA,Houston Elementary School,HD Cooke Elementary School
Houston Elementa ry School,2014-05 16,Against LEA,Sousa M iddle School,HD Cooke Elementary School
Non-At tending,2014-05 18,Against LEA,Sousa M iddle School,HD Cooke Elementary School
Non-At tending,2014-05 18,Against LEA,Kingsbury Day School,HD Cooke Elementary School
Kingsbury Day School,2014-05 20,Against LEA,Kingsbury Day School,HD Cooke Elementary School
Kingsbury Day School,2014-0521,Against LEA,Kingsbury Day School,HD Cooke Elementary School
Kingsbury Day School,2014-0519,Against LEA,Kingsbury Day School,HD Cooke Elementary School
Kingsbury Day School,2014-052 2,Against LEA,Kingsbury Day School,Key Elementa ry School
Kingsbury Day School,2014-052 2,Against LEA,Benjamin Banneker Academic HS,Key Elementa ry School
Kingsbury Day School,2014-052 2,Against LEA,Benjamin Banneker Academ ic HS,Key Elementa ry School
Benjam in Banneker Academic HS,2014-0523,Against LEA,Benjamin Banneker Academ ic HS,Key Elementa ry School
Benjam in Banneker Academic HS,2014-0523,Against LEA,Benjamin Banneker AcademicH,Key Elementa ry School
Benjam in Banneker Academic HS,2014-0523,Against LEA,Aiton Elementary School,Key Elementa ry School
Aiton Elementa ry School,2014-0524,Against LEA,Aiton Elementar y School,Aiton Elementary School
Aiton Elementa ry School,2014-0524,Against LEA,Ait on Elementary School,Aiton Elementary School
Aiton Elementa ry School,2014-0524,Against LEA,Hardy MS@ Hamilton School,Aiton Elementary School
Commonw ealth Academy,2014-0525,Against LEA,Hardy MS@ Hamilto n School,Hardy MS @ Hamilton Schoo l
Commonw ealth Academy,2014-0525,Against LEA,HD Cooke Elementary School,Hardy MS @ Hamilton Schoo l
..,2014-0525,Against LEA,HD Cooke Elementary School,Hardy MS @ Hamilton Schoo l
..,2014-0525,Against LEA,LaSalle-Backus EC,Hardy MS @ Hamilton Schoo l
LaSalle-Backus EC,2014-0527,Aga inst LEA,LaSalle-Backus EC,LaSalle-Backus EC
Friendship Publ ic Charte r Schoo l (all campuses),2014-0528,Aga inst LEA,LaSalle-Backus EC,Amidon Elemen tary Schoo l
Friendship Publ ic Charte r Schoo l (all campuses),2014-0528,Aga inst LEA,Johnson MS,Amidon Elemen tary Schoo l
Johnson MS,2014-0530,Aga inst LEA,Johnson MS,Amidon Elemen tary Schoo l
Johnson MS,2014-0530,Aga inst LEA,Wilson Senior High School,Amidon Elemen tary Schoo l
Johnson MS,2014-0530,Aga inst LEA,Wi lson Senior High School,Amidon Elemen tary Schoo l
W ilson Sen ior High Schoo l,2014-0529,Aga inst LEA,Wilson Senior High School,cardozo High School
Ach ievement Prep Academy Publ ic Charter,2014-0532,Expedited Discip line,Wilson Senior High School,Ma lcolm X ES
Ach ievement Prep Academy Publ ic Charter,2014-0532,Expedited Discip line,Non -Attending,Ma lcolm X ES
Ach ievement Prep Academy Publ ic Charter,2014-0532,Expedited Discip line,Non-Attending,Ma lcolm X ES
""" '•' Non-Attendi",2014-0531,Aga inst LEA,Non-Attending,Ma lcolm X ES
""" '•' Non-Attendi",2014-0531,Aga inst LEA,Non -Attending,Ma lcolm X ES
""" '•' Non-Attendi",2014-0531,Aga inst LEA,Ballou Senior High School,Ma lcolm X ES
Ballou Senior High Schoo l,2015-0001,Aga inst LEA,Ballou Senior High School,Ma lcolm X ES
Ballou Senior High Schoo l,2015-0001,Aga inst LEA,Anacost ia Senior High Schoo l,Ma lcolm X ES
Anacostia Senior High School,2015-0004,Aga inst LEA,Anacost ia Sen ior High Schoo l,Ma lcolm X ES
Anacostia Senior High School,2015-0004,Aga inst LEA,Anacost ia Senior High School,Ma lcolm X ES
Anacostia Senior High School,2015-0004,Aga inst LEA,School Wit hout Walls High School,Ma lcolm X ES
Anacostia Senior High School,2015-0004,Aga inst LEA,School W ithout Walls High School,Ma lcolm X ES
01/06/2015,01/06/2015,01/06/2015,01/06/2015,01/06/2015
01/07/2015,01/07/2015,01/07/2015,01/07/2015,01/07/2015
01/08/2015,01/08/2015,01/08/2015,01/08/2015,01/08/2015
01/ 09/ 2015,01/ 09/ 2015,01/ 09/ 2015,01/ 09/ 2015,01/ 09/ 2015
01/12/2015,01/12/2015,01/12/2015,01/12/2015,01/12/2015
01/12/2015,01/12/2015,01/12/2015,Ludlow-Taylo r ES,01/12/2015
01/12/2015,01/12/2015,01/12/2015,Ludlow-Taylor ES,01/12/2015
Ludlow-Tay lor ES,2015-0016,Against LEA,Ludlow-Taylor ES,Ludlow-T aylor ES
Ludlow-Tay lor ES,2015-0016,Against LEA,Ludlow-Taylo r ES,Ludlow-T aylor ES
Ludlow-Tay lor ES,2015-0016,Against LEA,Ludlow-Taylor,Ludlow-T aylor ES
Ludlow-Tay lor ES,2015-0016,Against LEA,Na lie Elementary School,Ludlow-T aylor ES
Nalle Eleme nta ry School,2015-0017,Against LEA,Na lie Elementary School,Nalle Elementary School
Nalle Eleme nta ry School,2015-0017,Expedited NON,Na lie Elementary School,Nalle Elementary School
Creat ive M inds Inte rnat iona l PCS,2015-0021,Expedited NON,Na lie Elementary School,Nalle Elementary School
Creat ive M inds Inte rnat iona l PCS,2015-0021,Discipline,Na lie Elementary School,Nalle Elementary School
Creat ive M inds Inte rnat iona l PCS,2015-0021,Discipline,Hardy M S @ Hamil t on School,Nalle Elementary School
Creat ive M inds Inte rnat iona l PCS,2015-0021,Discipline,Hardy MS@ Hamil t on School,Nalle Elementary School
Creat ive M inds Inte rnat iona l PCS,2015-0021,Discipline,Hardy MS@ Hamilto n School,Nalle Elementary School
Hardy MS @ Hamilto n School,2015-0019,Against LEA,Hardy M S @ Hamil ton School,Nalle Elementary School
Hardy MS @ Hamilto n School,2015-0019,Against LEA,Hardy MS@ Hamil t on School,Nalle Elementary School
Hardy MS @ Hamilto n School,2015-0019,Against LEA,Hardy MS@ Hamilto n School,Nalle Elementary School
Hardy MS @ Hamilto n School,2015-0019,Against LEA,Hardy MS@ Hamil ton School,Nalle Elementary School
Hardy MS @ Hamilto n School,2015-0019,Expedited NON,Creative Mi nds International,Nalle Elementary School
Creat ive M inds Internat ional PCS,2015-0022,Expedited NON,Creative Mi nds International,Nalle Elementary School
Creat ive M inds Internat ional PCS,2015-0022,Discipline,Creative Mi nds International,Nalle Elementary School
Creat ive M inds Internat ional PCS,2015-0022,Discipline,Dunba r High School,Nalle Elementary School
Non-Attend ing,2015-0020,Against LEA,Dunba r High School,Dunbar High School
Non-Attend ing,2015-0020,Against LEA,Dunbar High Schoo l,Dunbar High School
Non-Attend ing,2015-0020,Against LEA,Anacost ia Senior High School,Dunbar High School
Anacostia Senior High School,2015-0024,Against LEA,Anacost ia Senior High School,Anacostia Senior High School
Cesar Chavez PCS,2015-0023,Against LEA,Anacost ia Senior High School,Anacostia Senior High School
Options PCS,2014-0515,Against LEA,Anacost ia Senior High School,Anacostia Senior High School
Kingsbury Day School,2015-0025,Against LEA,Anacost ia Senior High School,Anacostia Senior High School
Kingsbury Day School,2015-0025,Expedited NON,Anacost ia Senior High School,Anacostia Senior High School
Creat ive M inds Inte rnationa l PCS,2015-0028,Expedited NON,Anacost ia Senior High School,Anacostia Senior High School
Creat ive M inds Inte rnationa l PCS,2015-0028,Discipline,Anacost ia Senior High School,Anacostia Senior High School
Creat ive M inds Inte rnationa l PCS,2015-0028,Discipline,Cardozo High School,Anacostia Senior High School
Cardozo High School,2015-0027,Against LEA,Cardozo High School,Cardozo High School
Cardozo High School,2015-0027,Against LEA,Eastern High School,Cardozo High School
Eastern High School,2015-0026,Aga inst LEA,Eastern High School,Eastern High Schoo l
Creat ive M inds Inte rnat iona l PCS,2015-0029,Against LEA,Eastern High School,Eastern High Schoo l
Katheri ne Thomas,2015-0031,Aga inst LEA,Eastern High School,Key Eleme nta ry School
Kingsb ury Day School,2015-0030,Aga inst LEA,Eastern High School,Key Eleme nta ry School
Opt ions PCS,2015-0032,Aga inst LEA,Eastern High School,Key Eleme nta ry School
Opt ions PCS,2015-0032,Aga inst LEA,Mo ten Elemen tary Schoo l @ Wilkinson,Key Eleme nta ry School
Opt ions PCS,2015-0032,Aga inst LEA,Mo ten Elemen tary Schoo l @ Wilkinson,Mo ten Eleme nta ry School@
Moten Elementary School @ Wi lkinson,2015-0034,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkinson,Mo ten Eleme nta ry School@
Moten Elementary School @ Wi lkinson,2015-0034,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkinson,Wilkinso n
Moten Elementary School @ Wi lkinson,2015-0034,Aga inst LEA,Moten Elementa ry Schoo l @ Wilkinson,Wilkinso n
Moten Elementary School @ Wi lkinson,2015-0034,Aga inst LEA,Moten Elementa ry Schoo l @ Wilkinson,Turne r @ Green Eleme ntary
Friendship Publ ic Charte r Schoo l (all campuses),2015-0033,Against LEA,Moten Elementa ry Schoo l @ Wilkinson,Turne r @ Green Eleme ntary
Friendship Publ ic Charte r Schoo l (all campuses),2015-0033,Against LEA,Moten Elementa ry Schoo l @ Wilkinson,School
Friendship Publ ic Charte r Schoo l (all campuses),2015-0033,Against LEA,Roosevelt High School,School
Roosevelt High School,2015-0035,Aga inst LEA,Roosevelt High School,Roosevelt High School
Roosevelt High School,2015-0035,Aga inst LEA,Drew Elementary Schoo l,Roosevelt High School
Drew Elementary,2015-0036,Aga inst LEA,Drew Elementary School,Drew Eleme nta ry School
Wash ington Math Science Tech nology Public,2015-0036,Aga inst LEA,Drew Elementary School,Wash ington Math Science
Wash ington Math Science Tech nology Public,2015-0037,Aga inst LEA,Drew Elementary School,Wash ington Math Science
Chart er School,2015-0037,Aga inst LEA,Drew Elementary School,"Technolo"""" Pub lic Charter"
Chart er School,2015-0037,Aga inst LEA,Dun bar High School,"Technolo"""" Pub lic Charter"
Chart er School,2015-0037,Aga inst LEA,Dunba r High School,"Technolo"""" Pub lic Charter"
Paul PCS,2015-0039,Aga inst LEA,Dunba r High School,Dunbar High School
Paul PCS,2015-0039,Aga inst LEA,Dun bar High Schoo l,Dunbar High School
Paul PCS,2015-0039,Aga inst LEA,Dunbar High Schoo l,Dunbar High School
High Road DC A-M,2015-0042,Aga inst LEA,Dunbar High Schoo l,Dunbar High School
High Road DC A-M,2015-0042,Aga inst LEA,Cardozo High School,Dunbar High School
car dozo High Schoo l,2015-0045,Aga inst LEA,Cardozo High School,cardozo High School
car dozo High Schoo l,2015-0045,Aga inst LEA,Yout h Services Center,cardozo High School
car dozo High Schoo l,2015-0045,Aga inst LEA,Youth Services Center,cardozo High School
Youth Services Cente r,2015-0044,Aga inst LEA,Yout h Services Center,cardozo High School
Youth Services Cente r,2015-0044,Aga inst LEA,Youth Services Center,cardozo High School
Youth Services Cente r,2015-0044,Aga inst LEA,Wilson Senior High School,cardozo High School
OTHER,2015-0040,Aga inst LEA,Wilson Senior High School,Wi lson Senio r High School
OTHER,2015-0040,Aga inst LEA,Wi lson Senior High School,Wi lson Senio r High School
OTHER,2015-0040,Aga inst LEA,Thurgood Mars hall Academy,Wi lson Senio r High School
Thurgood Marshall Academy,2015-0041,Aga inst LEA,Thurgood Mars hall Academy,Wi lson Senio r High School
Thurgood Marshall Academy,2015-0041,Aga inst LEA,Thurgood Marsha ll Acade my PCS,Wi lson Senio r High School
Thurgood Marshall Academy,2015-0041,Aga inst LEA,LaSalle-Backus EC,Wi lson Senio r High School
LaSalle-Backus EC,2015-0043,Aga inst LEA,LaSalle-Backus EC,LaSalle-Backus EC
LaSalle-Backus EC,2015-0043,Aga inst LEA,Jeff erson MS,LaSalle-Backus EC
Jefferson,2015-0046,Aga inst LEA,Jefferson MS,LaSalle-Backus EC
Paul PCS,2015-0051,Aga inst LEA,Jefferson MS,LaSalle-Backus EC
Paul PCS,2015-0051,Aga inst LEA,Burrv il le Elementary Schoo l,LaSalle-Backus EC
Ingenuity Preparator y,2015-0049,Aga inst LEA,Burrvil le Eleme ntary Schoo l,Burrv ille Elementar y School
Ingenuity Preparator y,2015-0049,Aga inst LEA,Burrvil le Elemen tary Schoo l,Burrv ille Elementar y School
Ingenuity Preparator y,2015-0049,Aga inst LEA,Eastern High School,Burrv ille Elementar y School
Eastern High Schoo l,2015-0050,Aga inst LEA,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2015-0050,Aga inst LEA,Kelly M iller MS,Eastern High Schoo l
